Date,Name,Year,Letterboxd URI,Rating
2015-04-26,Full Metal Jacket,1987,http://letterboxd.com/film/full-metal-jacket/,5
2015-05-08,Ex Machina,2015,http://letterboxd.com/film/ex-machina-2015/,4.5
2015-05-15,Life Is Beautiful,1997,http://letterboxd.com/film/life-is-beautiful/,4
2015-05-18,Mad Max: Fury Road,2015,http://letterboxd.com/film/mad-max-fury-road/,5
2015-05-27,Predestination,2014,http://letterboxd.com/film/predestination/,4
2015-06-03,Little Buddha,1993,http://letterboxd.com/film/little-buddha/,1
2015-06-06,The Devil's Arithmetic,1999,http://letterboxd.com/film/the-devils-arithmetic/,0.5
2015-06-12,The Boy in the Striped Pajamas,2008,http://letterboxd.com/film/the-boy-in-the-striped-pajamas/,1
2015-06-22,Inside Out,2015,http://letterboxd.com/film/inside-out-2015/,5
2015-06-27,Jurassic World,2015,http://letterboxd.com/film/jurassic-world/,2
2015-07-08,World of Tomorrow,2015,http://letterboxd.com/film/world-of-tomorrow/,5
2015-07-29,Pi,1998,http://letterboxd.com/film/pi/,4
2015-08-03,Mission: Impossible – Rogue Nation,2015,http://letterboxd.com/film/mission-impossible-rogue-nation/,4
2015-08-16,The Assassination of Jesse James by the Coward Robert Ford,2007,http://letterboxd.com/film/the-assassination-of-jesse-james-by-the-coward-robert-ford/,5
2015-08-20,"Synecdoche, New York",2008,http://letterboxd.com/film/synecdoche-new-york/,5
2015-08-24,The Hunt,2012,http://letterboxd.com/film/the-hunt-2012/,5
2015-08-25,Enter the Void,2009,http://letterboxd.com/film/enter-the-void/,5
2015-08-27,There Will Be Blood,2007,http://letterboxd.com/film/there-will-be-blood/,5
2015-08-28,No Country for Old Men,2007,http://letterboxd.com/film/no-country-for-old-men/,5
2015-09-01,The Darjeeling Limited,2007,http://letterboxd.com/film/the-darjeeling-limited/,4
2015-09-02,Lost in Translation,2003,http://letterboxd.com/film/lost-in-translation/,5
2015-09-04,Dear Zachary: A Letter to a Son About His Father,2008,http://letterboxd.com/film/dear-zachary-a-letter-to-a-son-about-his-father/,4.5
2015-09-05,Taxi Driver,1976,http://letterboxd.com/film/taxi-driver/,5
2015-10-18,The Martian,2015,http://letterboxd.com/film/the-martian/,3.5
2015-10-20,Spy,2015,http://letterboxd.com/film/spy/,3
2015-11-14,What We Do in the Shadows,2014,http://letterboxd.com/film/what-we-do-in-the-shadows/,4
2015-11-30,Creed,2015,http://letterboxd.com/film/creed/,4.5
2015-12-09,Decker: Port of Call: Hawaii,2015,http://letterboxd.com/film/decker-port-of-call-hawaii/,5
2015-12-26,Team America: World Police,2004,http://letterboxd.com/film/team-america-world-police/,4.5
2015-12-31,Star Wars: The Force Awakens,2015,http://letterboxd.com/film/star-wars-the-force-awakens/,4.5
2016-01-02,Sicario,2015,http://letterboxd.com/film/sicario-2015/,5
2016-01-12,The Big Short,2015,http://letterboxd.com/film/the-big-short/,5
2016-01-18,The Revenant,2015,http://letterboxd.com/film/the-revenant-2015/,4.5
2016-01-23,It's Such a Beautiful Day,2012,http://letterboxd.com/film/its-such-a-beautiful-day/,5
2016-01-28,The Finest Hours,2016,http://letterboxd.com/film/the-finest-hours-2016/,1.5
2016-02-03,Turbo Kid,2015,http://letterboxd.com/film/turbo-kid/,4
2016-02-13,The Tree of Life,2011,http://letterboxd.com/film/the-tree-of-life-2011/,5
2016-02-14,The Master,2012,http://letterboxd.com/film/the-master-2012/,4.5
2016-03-01,Stutterer,2015,http://letterboxd.com/film/stutterer/,3.5
